# z cos(z) linterp(z) linteg(z) qspline(z) qderiv(z) qinteg(z)
5.10000000 0.37797774 0.37797774 -0.92562180 0.33123392 0.00000000 -0.91007124
5.12000000 0.39641721 0.39629737 -0.91787905 0.37797774 0.00000000 -0.90251168
5.14000000 0.41469811 0.41461700 -0.90976990 0.37797774 0.00000000 -0.89495213
5.16000000 0.43281314 0.43272479 -0.90129542 0.42377682 0.00000000 -0.88693458
5.18000000 0.45075506 0.45062073 -0.89246197 0.42377682 0.00000000 -0.87845905
5.20000000 0.46851667 0.46851667 -0.88327059 0.42377682 0.00000000 -0.86998351
5.22000000 0.48609089 0.48594419 -0.87372599 0.46851667 0.00000000 -0.86061318
5.24000000 0.50347067 0.50337172 -0.86383283 0.46851667 0.00000000 -0.85124284
5.26000000 0.52064907 0.52054325 -0.85359240 0.51208548 0.00000000 -0.84143682
5.28000000 0.53761923 0.53745879 -0.84301238 0.51208548 0.00000000 -0.83119511
5.30000000 0.55437434 0.55437434 -0.83209405 0.51208548 0.00000000 -0.82095340
5.32000000 0.57090770 0.57073562 -0.82084295 0.55437434 0.00000000 -0.80986592
5.34000000 0.58721272 0.58709691 -0.80926462 0.55437434 0.00000000 -0.79877843
5.36000000 0.60328285 0.60316061 -0.79736056 0.59527755 0.00000000 -0.78728191
5.38000000 0.61911168 0.61892674 -0.78513968 0.59527755 0.00000000 -0.77537636
5.40000000 0.63469288 0.63469288 -0.77260349 0.59527755 0.00000000 -0.76347081
5.42000000 0.65002020 0.64982445 -0.75975832 0.63469288 0.00000000 -0.75077695
5.44000000 0.66508753 0.66495602 -0.74661051 0.63469288 0.00000000 -0.73808310
5.46000000 0.67988883 0.67975140 -0.73316176 0.67252180 0.00000000 -0.72501095
5.48000000 0.69441818 0.69421059 -0.71942214 0.67252180 0.00000000 -0.71156051
5.50000000 0.70866977 0.70866977 -0.70539333 0.67252180 0.00000000 -0.69811008
5.52000000 0.72263791 0.72242044 -0.69108243 0.70866977 0.00000000 -0.68393668
5.54000000 0.73631700 0.73617111 -0.67649651 0.70866977 0.00000000 -0.66976329
5.56000000 0.74970158 0.74955033 -0.66163744 0.74304644 0.00000000 -0.65524612
5.58000000 0.76278628 0.76255810 -0.64651636 0.74304644 0.00000000 -0.64038519
5.60000000 0.77556588 0.77556588 -0.63113512 0.74304644 0.00000000 -0.62552427
5.62000000 0.78803526 0.78779825 -0.61550148 0.77556588 0.00000000 -0.61001295
5.64000000 0.80018944 0.80003062 -0.59962319 0.77556588 0.00000000 -0.59450163
5.66000000 0.81202356 0.81186000 -0.58350227 0.80614681 0.00000000 -0.57868450
5.68000000 0.82353287 0.82328639 -0.56715080 0.80614681 0.00000000 -0.56256157
5.70000000 0.83471278 0.83471278 -0.55057081 0.80614681 0.00000000 -0.54643863
5.72000000 0.84555882 0.84530464 -0.53377064 0.83471278 0.00000000 -0.52974438
5.74000000 0.85606665 0.85589649 -0.51675863 0.83471278 0.00000000 -0.51305012
5.76000000 0.86623206 0.86605784 -0.49953693 0.86119242 0.00000000 -0.49609107
5.78000000 0.87605099 0.87578868 -0.48211847 0.86119242 0.00000000 -0.47886722
5.80000000 0.88551952 0.88551952 -0.46450538 0.86119242 0.00000000 -0.46164337
5.82000000 0.89463384 0.89436502 -0.44670654 0.88551952 0.00000000 -0.44393298
5.84000000 0.90339033 0.90321053 -0.42873078 0.88551952 0.00000000 -0.42622259
5.86000000 0.91178547 0.91160231 -0.41058039 0.90763328 0.00000000 -0.40829106
5.88000000 0.91981591 0.91954037 -0.39226896 0.90763328 0.00000000 -0.39013840
5.90000000 0.92747843 0.92747843 -0.37379877 0.90763328 0.00000000 -0.37198573
5.92000000 0.93476998 0.93448921 -0.35517909 0.92747843 0.00000000 -0.35343616
5.94000000 0.94168763 0.94149998 -0.33641920 0.92747843 0.00000000 -0.33488659
5.96000000 0.94822861 0.94803835 -0.31752146 0.94500537 0.00000000 -0.31616176
5.98000000 0.95439032 0.95410432 -0.29850003 0.94500537 0.00000000 -0.29726165
6.00000000 0.96017029 0.96017029 -0.27935728 0.94500537 0.00000000 -0.27836154
6.02000000 0.96556620 0.96527628 -0.26010282 0.96017029 0.00000000 -0.25915814
6.04000000 0.97057589 0.97038228 -0.24074623 0.96017029 0.00000000 -0.23995473
6.06000000 0.97519737 0.97500191 -0.22128996 0.97293528 0.00000000 -0.22062367
6.08000000 0.97942878 0.97913517 -0.20174859 0.97293528 0.00000000 -0.20116497
6.10000000 0.98326844 0.98326844 -0.18212455 0.97293528 0.00000000 -0.18170626
6.12000000 0.98671480 0.98641864 -0.16242768 0.98326844 0.00000000 -0.16204089
6.14000000 0.98976649 0.98956884 -0.14266781 0.98326844 0.00000000 -0.14237553
6.16000000 0.99242228 0.99222357 -0.12284741 0.99114394 0.00000000 -0.12263140
6.18000000 0.99468112 0.99438283 -0.10298134 0.99114394 0.00000000 -0.10280852
